11189,11189,11189,1063,125,8,11189,11189,,69,1220,114,208,114,238,1005,159,2408,956,635,2271,86,816,362,82,46,119,827,204,53,24,173,69,11,14
180,It can be taken place in anywhere together with online reading materials that can be downloaded from electronic media such as library.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
181,Study anywhere,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
182,易睇到老師給的資料,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
183,老師善用zoom的share功能，有效提高學生的清晰度，十分好。 節省了來回中大的時間，多了時間做功課。,e,n,,,e n  ,E N  ,"Time management, Clarity of delivery",,,,,,,Time management,,,,,,,Clarity of delivery,,,,,,,,,,,,
184,Save traveling,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
185,"During lecture, discussion are encouraged and rich references have been provided. The setting up of a class WhatsApp group helps further discussion and answer any related concern.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
186,The teacher provides additional video recordings to spare more time in the class for discussion.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
187,易睇到老師給的資料,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
188,can study anywhere,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
189,Save traveling time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
190,saving my travelling time Learning in are reax home environment,e,d,,,e d  ,E D  ,"Learning environment, Time management",,,,,,Learning environment,Time management,,,,,,,,,,,,,,,,,,,
191,Easier to see the slides,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
192,lecture recording could help PT students who may not be able to attend class (or attend class on time).,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
193,Lack of communication between classmates,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
194,進行有限度小組討論。,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
195,at least we can continue our learning under the public gathering restrictions,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
196,Easy to use,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
197,可以方便安排時間重溫教學內容,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
198,the discussion is very active.,h,,,,h   ,H   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
199,"Through the chat room, we could know the questions and ideas of other classmates. In normal class room, we could not know other classmates's question and idea if they don't voice out.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
200,"Student can save much time, don't need to waste time in traffic.",e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
201,Still can attend class even having ot,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
202,Save traveling,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
203,- 方便在堂上發問（說話/文字） - 有錄音,k,g,,,k g  ,K G  ,"Interaction & communication, Self-organised learning",,,,,,,,,Interaction & communication,,,Self-organised learning,,,,,,,,,,,,,,
204,Online lecture can be access anywhere visual and audio materials are presented clearly and eradicated the interference live nose or sight block.,k,n,,,k n  ,K N  ,"Self-organised learning, Clarity of delivery",,,,,,,,,,,,Self-organised learning,,Clarity of delivery,,,,,,,,,,,,
205,易睇到老師給的資料,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
206,Saving my travelling time More relax learning environment at home Flexibility in learning venue,e,d,,,e d  ,E D  ,"Learning environment, Time management",,,,,,Learning environment,Time management,,,,,,,,,,,,,,,,,,,
207,缺乏同學之間溝通,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
208,不用停止課堂。講師能回答學生問題。,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
209,沒有,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
210,not at all,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
211,Save traveling time. Increased use of technology.,e,s,,,e s  ,E S  ,"Time management, Technical IT",,,,,,,Time management,,,,,,,,,,,,,,Technical IT,,,,,
212,"Shortening the distance between the teacher and the individual student. Sometimes, students at the back may have slight difficulty in engaging the conversation, but better online.",g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
213,convenient to attend the lesson,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
214,老師和學生的互動很好,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
215,Save traveling time. Higher flexibility.,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
216,very clear way of presentation even with Zoom,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
217,The lectures are recorded so that we can replay it for several times.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
218,The course content was well organized and professor tried his best to make these clear.,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
219,flexible,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
220,Very clear slides and speech,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
221,Have a record to reveiw.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
222,I can watch the lecture video at any time.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
223,有记不清楚的点可以重复观看教学录像,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
224,Video recording is quite helpful for review.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
225,Tutorials conducted by tutors are better presented by screen sharing.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
226,save more time to get the classroom,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
227,"Since professor will record the lecture, it will help us to review the content.",k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
228,We can use the lecture recordings to review.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
229,方便,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
230,配上字幕及視頻使演示更清晰,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
231,內容與平日上課相同且較為方便,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
232,可向老師即時作出提問,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
233,錄影方便複習,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
234,convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
235,"It is actually better to use zoom for this course as the contents are delivered better than in a classroom and we can more conveniently apply what we are learning immediately on our laptop, eg. spreadsheet. Also I think the presentations go even more smoothly with online teaching.",q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
236,不用到課室上課,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
237,monitor夠大同清晰見到excel點樣用formula,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
238,more interaction in presentation,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
239,Can still demonstrate basic knowledge of IT like using spreadsheets and internet security by screen sharing from the teacher.,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
240,Can communicate with the teacher through chatbox,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
241,NIL,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
242,網上教學能清晰地看見螢幕,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
243,Time spent reduces,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
244,convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
245,"As we do not have to go to the classroom physically, time for transition between classes is saved.",e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
246,Sharescreen比真人上課睇powerpoint更清晰,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
247,Provide some tools like voting.,o,,,,o   ,O   ,Zoom functions/ online tools,,,,,,,,,,,,,,,Zoom functions/ online tools,,,,,,,,,,,
248,students can follow the powerpoint easily by the function of share screen.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
249,Can share screen and informations such as links  easily,n,m,,,n m  ,N M  ,"Multitask, Clarity of delivery",,,,,,,,,,,,,Multitask,Clarity of delivery,,,,,,,,,,,,
250,老師授課生動、內容豐富，因此會專注上課。老師會利用ureply poll questions 和 zoom chat 與學生互動，課堂不會很悶。,o,g,,,o g  ,O G  ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
251,Eager to answer questions,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
252,Giving responses is more convenient in zoom,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
253,convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
254,即時示範如excel的運用,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
255,沒有太大優點，只是省卻了報告時組與組之間的切換時間。,c,h,,,c h  ,C H  ,"IDK/ same, Facilitation of group discussion and group works",,,,IDK/ same,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
256,can watch the lecture again,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
257,No comments.,c,,,,c   ,C   ,IDK/ same,,,,IDK/ same,,,,,,,,,,,,,,,,,,,,,,
258,More easier to answer questions by chatroom function,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
259,can encourage interaction through chat box.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
260,Clear presentation,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
261,No,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
262,Some good features was being able to raise questions and take notes conveniently.,g,o,,,g o  ,G O  ,"Interaction & communication, Zoom functions/ online tools",,,,,,,,,Interaction & communication,,,,,,Zoom functions/ online tools,,,,,,,,,,,
263,與面授效果基本一致不受阻礙；,c1,,,,c1   ,C1   ,continue learning,,,,,continue learning,,,,,,,,,,,,,,,,,,,,,
264,小組匯報很方便。,h3,,,,h3   ,H3   ,Facilitation of group discussion and group works,,,,,,,,,,Facilitation of group discussion and group works,,,,,,,,,,,,,,,,
265,方便,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
266,The teaching is clear.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
267,good for 830 lessons,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
268,方便,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
269,"At least lessons could be delivered and questions could be asked, better then failing to have classes.",c,g,,,c g  ,C G  ,"IDK/ same, Interaction & communication",,,,IDK/ same,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
270,有助學生活用課堂時間,f,,,,f   ,F   ,Organization of class,,,,,,,,Organization of class,,,,,,,,,,,,,,,,,,
271,上課時間更加有彈性 可以上blackboard睇返 無其他同學既騷擾,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
272,IT,s,,,,s   ,S   ,Technical IT,,,,,,,,,,,,,,,,,,,,,Technical IT,,,,,
273,有錄音。 投入課堂，不受其他同學影響。,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
274,The lectures are recorded so whenever we forget about something or miss anything we could easily look for it.,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
275,easy to show technololgy,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
276,None.,b,,,,b   ,B   ,None,,None,,,,,,,,,,,,,,,,,,,,,,,,
277,Saves time,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
278,IT uses computer anyway,u,,,,u   ,U   ,Learning result and effectiveness,,,,,,,,,,,,,,,,,,,,,,,Learning result and effectiveness,,,
279,We can directly try out the excel functions in our own laptop but not just listening to the explanation of teacher,p3,,,,p3   ,P3   ,Learning activities,,,,,,,,,,,,,,,,,,Learning activities,,,,,,,,
280,可以反复看课程录像,k,,,,k   ,K   ,Self-organised learning,,,,,,,,,,,,Self-organised learning,,,,,,,,,,,,,,
281,More interactive time with professor,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
282,Prof. Lam was able to show more examples of using excel than in the regular classroom setting.,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
283,save time from getting to the class,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
284,the chatroom function facilitates immediate communication between teacher and students,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
285,"As no need to speak face to face, students are more willing to raise their question and opinion. Also,as this lesson only last for 45 mins, it is good that many student do not need to campus only for this class. Save transport fee and time",g,e,,,g e  ,G E  ,"Time management, Interaction & communication",,,,,,,Time management,,Interaction & communication,,,,,,,,,,,,,,,,,
286,students are more active in asking questions and attending in discussion because there are channels like chatroom and ureply to do so.,g,,,,g   ,G   ,Interaction & communication,,,,,,,,,Interaction & communication,,,,,,,,,,,,,,,,,
287,Convenient,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
288,save travelling time to school,e,,,,e   ,E   ,Time management,,,,,,,Time management,,,,,,,,,,,,,,,,,,,
289,Very convenient.,q1,,,,q1   ,Q1   ,Overall convenience ,,,,,,,,,,,,,,,,,,,Overall convenience ,,,,,,,
290,could serach the information or open previous ppt immediately.,m,,,,m   ,M   ,Multitask,,,,,,,,,,,,,Multitask,,,,,,,,,,,,,
291,more resources could be provided,j,,,,j   ,J   ,Learning content/ resources,,,,,,,,,,,Learning content/ resources,,,,,,,,,,,,,,,
292,More chances to encounter IT problems,s,,,,s   ,S   ,Technical IT,,,,,,,,,,,,,,,,,,,,,Technical IT,,,,,
293,Can see the teacher's demonstration,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
294,use of share screen,n,,,,n   ,N   ,Clarity of delivery,,,,,,,,,,,,,,Clarity of delivery,,,,,,,,,,,,
