9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,9105,,9105,109,1294,97,335,46,189,396,259,433,223,1376,669,497,288,264,418,153,218,576,1120,251,274,120,257
168,PGH 宿舍网络信号不太好,s,,,,s   ,internet/ wifi,,,,S   ,IT-related,internet/ wifi,,,,,,,,,,,,,,,,,,,,internet/ wifi,,,,
169,it may be metter if the tutor can use a writing pad to show some proofs step by step,s,,,,s   ,equipment - write and draw,,,,S   ,IT-related,equipment - write and draw,,,,,,,,,,,,,,,,,,,,equipment - write and draw,,,,
170,Maybe release the class materials a little bit early such that we can preview it before the lecture. Because we have no time to go through some details in class.,j,,,,j   ,material accessibility (earlier),,,,J   ,Course material,material accessibility (earlier),,,,,,,,,,,,,material accessibility (earlier),,,,,,,,,,,
171,To talk about the lecture contents preciser.,n,,,,n   ,clearer/ detailed explanation,,,,N   ,Clarity of delivery,clearer/ detailed explanation,,,,,,,,,,,,,,,,clearer/ detailed explanation,,,,,,,,
172,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
173,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
174,也許休息時間也不要暫停錄影，以免之後忘記恢復錄影,k,,,,k   ,lecture recordings - exclude breaks,,,,K   ,Recording,lecture recordings - exclude breaks,,,,,,,,,,,,,,lecture recordings - exclude breaks,,,,,,,,,,
175,Sometimes the internet is unstable and I would miss some points.,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
176,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
177,可以慢啲啲,n,,,,n   ,pace slower,,,,N   ,Clarity of delivery,pace slower,,,,,,,,,,,,,,,,pace slower,,,,,,,,
178,more hands-on it experience as we use computer for meeting already,L,,,,L   ,hands-on experience,,,,L   ,Learning activities,hands-on experience,,,,,,,,,hands-on experience,,,,,,,,,,,,,,,
179,With more flexibility in attendance,f,,,,f   ,attendance,,,,F   ,Class planning,attendance,,,,,,,attendance,,,,,,,,,,,,,,,,,
180,Can have more interaction between students / teacher and students,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
181,Interaction between the teacher and students can be enhanced,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
182,NIL,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
183,Dont use zoom,y,,,,y   ,no zoom,,,,Y   ,Choice of platform,no zoom,,,,,,,,,,,,,,,,,,,,,,no zoom,,
184,Nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
185,大致沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
186,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
187,Can be more interactive,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
188,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
189,在疫情發生時，功課拍片會有啲難度，甚至我覺得有一些無理，令我會擔心不能完成或者比其他同學的作品差。,M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
190,教excel 無示範，只看ppt 有些難明白,n,,,,n   ,demonstration,,,,N   ,Clarity of delivery,demonstration,,,,,,,,,,,,,,,,demonstration,,,,,,,,
191,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
192,本科不應繼續使用網上教學，因為面授課堂報告才能夠好好發輝。,e,,,,e   ,unsuitable for online,,,,E   ,Prefer f2f,unsuitable for online,,,,unsuitable for online,,,,,,,,,,,,,,,,,,,,
193,more online resources can be provided,j,,,,j   ,more online resources,,,,J   ,Course material,more online resources,,,,,,,,,,,,,more online resources,,,,,,,,,,,
194,No comments.,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
195,Difficult to guarantee engagement and involvement of every student.,g,,,,g   ,participation,,,,G   ,Interaction,participation,,,,,,,,,,,participation,,,,,,,,,,,,,
196,video is not smooth enough,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
197,No,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
198,Some more interactive activities.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
199,小組展示及視頻分享偶有技術阻礙；小組討論參與程度應當提高；,h,h,,,h h  ,group presentation,group presentation,,,H H  ,Discussion/ Group work,"group presentation, group presentation",,,,,,,,,,,,"group presentation, group presentation",,,,,,,,,,,,
200,老師視訊接收不穩定。,s,,,,s   ,internet/ wifi,,,,S   ,IT-related,internet/ wifi,,,,,,,,,,,,,,,,,,,,internet/ wifi,,,,
201,分組報告,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
202,There can be more interaction.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
203,"less interaction, cannot concentrate on lessons but need to hand in several assessment.",g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
204,網絡不穩,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
205,好難拍video.,v,,,,v   ,others,,,,V   ,Others,others,,,,,,,,,,,,,,,,,,,,,,,others,
206,"Sometimes the network is not stable, especially when CUHK VPN is required for some access. But the problem is alleviated to an acceptable level when the materials are opened (i.e. VPN is not required).",s,,,,s   ,vpn,,,,S   ,IT-related,vpn,,,,,,,,,,,,,,,,,,,,vpn,,,,
207,點名系統和方法,f,,,,f   ,attendance,,,,F   ,Class planning,attendance,,,,,,,attendance,,,,,,,,,,,,,,,,,
208,Internet connection problem,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
209,少互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
210,"Maybe the teacher can be more exciting , sometimes the teacher jokes and all that but I don't really get it.",r,,,,r   ,lecturer,,,,R   ,On intructor,lecturer,,,,,,,,,,,,,,,,,,lecturer,,,,,,
211,More interactive,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
212,maybe the video shooting or editing skills is not really tested as most videos I saw is just judging the online animation website or even powerpoint to make the “video”,j,,,,j   ,videos - quality,,,,J   ,Course material,videos - quality,,,,,,,,,,,,,videos - quality,,,,,,,,,,,
213,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
214,Better content and quality of work given and taught,j,,,,j   ,course materials,,,,J   ,Course material,course materials,,,,,,,,,,,,,course materials,,,,,,,,,,,
215,It is a pity that our presentation was conducted in online. There were some technical difficulties during the presentation.,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
216,The speed could be increased. Often our lessons would overrun and we couldn't finish all topics in the designated lectures. The course could be made more interactive and engaging.,f,g,,,f g  ,overrun,interaction,,,F G  ,"Class planning, Interaction","overrun, interaction",,,,,,,overrun,,,,interaction,,,,,,,,,,,,,
217,"the wifi connection of the student may not be stable, it would be better if it is recorded everytime",s,k,,,s k  ,network connection,lecture recordings,,,S K  ,"Recording, IT-related","lecture recordings, network connection",,,,,,,,,,,,,,lecture recordings,,,,,,network connection,,,,
218,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
219,no comment,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
220,little bit hard to show my question met when i did the assignment,M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
221,No chance to discuss with group mates. Interaction between students and teacher can be improved.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
222,hope prepare more time for Q&A during presentation.,g,,,,g   ,Q&A,,,,G   ,Interaction,Q&A,,,,,,,,,,,Q&A,,,,,,,,,,,,,
223,"the process of presentation could be explained in better details as it is not face-to-face, it would be confusing for students to conduct a presentation that they don't know how it to process.",h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
224,Use apps others than laggy Zoom.,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
225,More interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
226,more interactions with students,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
227,NIL,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
228,Not much to be improved.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
229,Technical problems shall be reduced.,s,,,,s   ,technical problems,,,,S   ,IT-related,technical problems,,,,,,,,,,,,,,,,,,,,technical problems,,,,
230,Difficult to concentrate,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
231,more interactive sessions can be organized,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
232,Open camera and force us to do exercise together,f,,,,f   ,camera on/off,,,,F   ,Class planning,camera on/off,,,,,,,camera on/off,,,,,,,,,,,,,,,,,
233,Can include more interactions like discussion or poll,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
234,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
235,need more interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
236,"Hard to communicate with groupmates, difficult to concentrate in class due to environment in my home, difficult to concentrate on study at home",d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
237,tutorial 可以更活躍,u,,,,u   ,tutorial,,,,U   ,Course,tutorial,,,,,,,,tutorial,,,,,,,,,,,,,,,,
238,適當增多Excel表格的練習與指引。視頻播放十分困難，導致Assessment難以完成。,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
239,Nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
240,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
241,學生上堂環境較不適合學習,d,,,,d   ,atmosphere,,,,D   ,Learn environment,atmosphere,,,,,,atmosphere,,,,,,,,,,,,,,,,,,
242,video sharing,j,,,,j   ,material accessibility,,,,J   ,Course material,material accessibility,,,,,,,,,,,,,material accessibility,,,,,,,,,,,
243,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
244,good,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
245,None.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
246,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
247,None. The online teaching is sufficiently good for all intents and purposes.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
248,the weighting of assignments can be lowered.,p,,,,p   ,assessment,,,,P   ,Assessment,assessment,,,,,,,,,,,,,,,,,,,assessment,,,,,
249,師生互動,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
250,不要太深，特別是excel,p,,,,p   ,difficulty,,,,P   ,Assessment,difficulty,,,,,,,,,,,,,,,,,,,difficulty,,,,,
251,"The group project should be presented in another way instead of a video as video making during social distancing is quite difficult. Maybe doing poster presentations or powerpoint presentations will be better, although there should be more interesting ideas of presentation other than those I suggested.",M,,,,M   ,group projects,,,,M   ,Assignment,group projects,,,,,,,,,,group projects,,,,,,,,,,,,,,
252,it’s good enough;）,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
253,video is hard to film,x,,,,x   ,Videoplay issue,,,,X   ,Videoplay issue,Videoplay issue,,,,,,,,,,,,,,,,,,,,,Videoplay issue,,,
254,I think the teachers can directly use the spreadsheet and show the application through sharing screen to aid their teaching instead of only relying on the PowerPoint.,n,,,,n   ,sharescreen,,,,N   ,Clarity of delivery,sharescreen,,,,,,,,,,,,,,,,sharescreen,,,,,,,,
255,sometimes is a bit lag,x,,,,x   ,Videoplay issue (lag),,,,X   ,Videoplay issue,Videoplay issue (lag),,,,,,,,,,,,,,,,,,,,,Videoplay issue (lag),,,
256,沒有。,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
257,More interaction.,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
258,No I think.,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
259,The online teaching of the course could be improved by maybe making it more interactive to try and maintain the student's attention more as it is easy to get distracted while in an online class.,d,g,,,d g  ,concentrate,interaction,,,D G  ,"Learn environment, Interaction","concentrate, interaction",,,,,,concentrate,,,,,interaction,,,,,,,,,,,,,
260,Not sure,c,,,,c   ,IDK / no comment/ same,,,,C   ,IDK / no comment/ same,IDK / no comment/ same,,,IDK / no comment/ same,,,,,,,,,,,,,,,,,,,,,
261,希望online class 的時候能取消分組拍片功課，改以個人短片/written assignemnt 代替，因為Zoom拍片質素欠佳，疫情下同學也不方便相約出外拍攝,M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
262,"Not much, thank you!",b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
263,Hard to work on the group project due to quarentine,M,,,,M   ,group projects,,,,M   ,Assignment,group projects,,,,,,,,,,group projects,,,,,,,,,,,,,,
264,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
265,"video taking is limited, but the requirement isn't changed.",s,,,,s   ,equipment,,,,S   ,IT-related,equipment,,,,,,,,,,,,,,,,,,,,equipment,,,,
266,沒有,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
267,Should not use zoom as it has security problems,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
268,"difficult to make a video recording, the examination method may adjust.",p,,,,p   ,exam,,,,P   ,Assessment,exam,,,,,,,,,,,,,,,,,,,exam,,,,,
269,no,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
270,Video assignment is too harsh for online teaching,M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
271,The connection of the system,s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
272,Tutorial 播放短片時，會出現畫質和音質不清。,u,,,,u   ,tutorial,,,,U   ,Course,tutorial,,,,,,,,tutorial,,,,,,,,,,,,,,,,
273,nope,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
274,nil,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
275,provide more activities in the class which can increase the engagement of students.,L,,,,L   ,learning activities,,,,L   ,Learning activities,learning activities,,,,,,,,,learning activities,,,,,,,,,,,,,,,
276,"sometimes my internet connection is not stable, but I don't know how to improve.",s,,,,s   ,network connection,,,,S   ,IT-related,network connection,,,,,,,,,,,,,,,,,,,,network connection,,,,
277,May include more exercise sessions in between lessons,M,,,,M   ,assignment,,,,M   ,Assignment,assignment,,,,,,,,,,assignment,,,,,,,,,,,,,,
278,More interaction,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
279,Online teaching can be distracting at times.,d,,,,d   ,concentrate,,,,D   ,Learn environment,concentrate,,,,,,concentrate,,,,,,,,,,,,,,,,,,
280,NIL,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
281,多點討論時間,h,,,,h   ,discussion,,,,H   ,Discussion/ Group work,discussion,,,,,,,,,,,,discussion,,,,,,,,,,,,
282,hard to deliver a presentation,h,,,,h   ,group presentation,,,,H   ,Discussion/ Group work,group presentation,,,,,,,,,,,,group presentation,,,,,,,,,,,,
283,The course content could be made more interesting and perhaps include a short break in the lecture time.,d,f,,,d f  ,not interesting/ boring,breaks,,,D F  ,"Learn environment, Class planning","not interesting/ boring, breaks",,,,,,not interesting/ boring,breaks,,,,,,,,,,,,,,,,,
284,兩者的溝通比較少？有些地方或許需要多一些時間理解，有沒有課前視頻可以觀看？,g,,,,g   ,interaction,,,,G   ,Interaction,interaction,,,,,,,,,,,interaction,,,,,,,,,,,,,
285,Trying to let every student understand,u,,,,u   ,learning result and effectiveness,,,,U   ,Course,learning result and effectiveness,,,,,,,,learning result and effectiveness,,,,,,,,,,,,,,,,
286,I think it is already the best measure under such limitation.,Q,,,,Q   ,it's good,,,,Q   ,It's good,it's good,,,,,,,,,,,,,,,,,,,,,,,,it's good
287,Security problem,s,,,,s   ,privacy/ security risk,,,,S   ,IT-related,privacy/ security risk,,,,,,,,,,,,,,,,,,,,privacy/ security risk,,,,
288,无,b,,,,b   ,,,,,B   ,None,none,,none,,,,,,,,,,,,,,,,,,,,,,
